video_id,questions,A_correct,A_accuracy,B_correct,B_accuracy,D_correct,D_accuracy,DB_both,D_only_vs_B,B_only_vs_D,DB_neither,D_minus_B,DA_both,D_only_vs_A,A_only_vs_D,DA_neither,D_minus_A
115774b6-534d-444f-b7aa-d1b834eb0ee7,25,7,0.28,6,0.24,5,0.2,2,3,4,16,-0.04,4,1,3,17,-0.08
41a86310-2cc1-48f9-b5b5-6b495a95fbac,25,7,0.28,7,0.28,7,0.28,4,3,3,15,0.0,5,2,2,16,0.0
4572b198-2c1c-4920-bcf0-95fcebe12261,25,9,0.36,10,0.4,10,0.4,9,1,1,14,0.0,9,1,0,15,0.04
6fd90f8d-7a4d-425d-a812-3268db0b0342,25,7,0.28,3,0.12,9,0.36,3,6,0,16,0.24,7,2,0,16,0.08
70f2a750-f403-41b8-aabb-480eb3ab4ed4,25,5,0.2,7,0.28,9,0.36,6,3,1,15,0.08,4,5,1,15,0.16
71fbc5bf-7e2a-415d-86bc-3a948742e904,25,12,0.48,7,0.28,9,0.36,6,3,1,15,0.08,7,2,5,11,-0.12
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,25,5,0.2,7,0.28,5,0.2,2,3,5,15,-0.08,3,2,2,18,0.0
7e512589-aa97-41e8-83d3-af2e83e4fd06,25,9,0.36,9,0.36,9,0.36,6,3,3,13,0.0,8,1,1,15,0.0
819c8af7-851f-434f-ab32-318285bc54b1,25,10,0.4,16,0.64,13,0.52,10,3,6,6,-0.12,10,3,0,12,0.12
a6d45e95-8dc0-4932-83bf-ec53e265a16a,25,8,0.32,8,0.32,8,0.32,4,4,4,13,0.0,6,2,2,15,0.0
d3a0899e-2093-454c-9f65-30087883193a,25,10,0.4,16,0.64,12,0.48,12,0,4,9,-0.16,10,2,0,13,0.08
db3f7933-dfa0-4678-9d4f-393b628ded45,25,9,0.36,7,0.28,7,0.28,5,2,2,16,0.0,6,1,3,15,-0.08
