video_id,routes,questions,A_correct,A_accuracy,A_supported,A_partially_supported,A_unsupported,A_contradicted,A_unreviewable,B_correct,B_accuracy,B_supported,B_partially_supported,B_unsupported,B_contradicted,B_unreviewable,D_correct,D_accuracy,D_supported,D_partially_supported,D_unsupported,D_contradicted,D_unreviewable
115774b6-534d-444f-b7aa-d1b834eb0ee7,75,25,7,0.28,2,8,8,0,7,6,0.24,3,9,8,1,4,5,0.2,4,13,5,2,1
41a86310-2cc1-48f9-b5b5-6b495a95fbac,75,25,7,0.28,3,9,5,5,3,7,0.28,6,11,2,1,5,7,0.28,11,10,0,4,0
4572b198-2c1c-4920-bcf0-95fcebe12261,75,25,9,0.36,4,6,8,2,5,10,0.4,8,7,1,2,7,10,0.4,8,13,4,0,0
6fd90f8d-7a4d-425d-a812-3268db0b0342,75,25,7,0.28,3,6,9,1,6,3,0.12,4,9,5,1,6,9,0.36,4,13,3,5,0
70f2a750-f403-41b8-aabb-480eb3ab4ed4,75,25,5,0.2,3,7,7,2,6,7,0.28,10,10,3,0,2,9,0.36,9,11,2,3,0
71fbc5bf-7e2a-415d-86bc-3a948742e904,75,25,12,0.48,6,7,7,0,5,7,0.28,7,6,6,2,4,9,0.36,11,9,3,2,0
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,75,25,5,0.2,0,3,11,3,8,7,0.28,5,7,7,1,5,5,0.2,8,11,3,3,0
7e512589-aa97-41e8-83d3-af2e83e4fd06,75,25,9,0.36,1,14,6,0,4,9,0.36,7,12,4,0,2,9,0.36,8,11,4,2,0
819c8af7-851f-434f-ab32-318285bc54b1,75,25,10,0.4,7,7,2,3,6,16,0.64,6,12,3,1,3,13,0.52,8,13,0,4,0
a6d45e95-8dc0-4932-83bf-ec53e265a16a,75,25,8,0.32,2,10,4,5,4,8,0.32,6,11,4,1,3,8,0.32,6,14,3,2,0
d3a0899e-2093-454c-9f65-30087883193a,75,25,10,0.4,5,6,7,0,7,16,0.64,3,14,0,3,5,12,0.48,9,10,5,1,0
db3f7933-dfa0-4678-9d4f-393b628ded45,75,25,9,0.36,3,3,10,2,7,7,0.28,10,9,3,2,1,7,0.28,9,14,1,1,0
