A_support,B_support,D_support,comparison,count
,contradicted,contradicted,D_vs_B,4
,partially_supported,contradicted,D_vs_B,9
,supported,contradicted,D_vs_B,6
,unreviewable,contradicted,D_vs_B,6
,unsupported,contradicted,D_vs_B,4
,contradicted,partially_supported,D_vs_B,6
,partially_supported,partially_supported,D_vs_B,64
,supported,partially_supported,D_vs_B,34
,unreviewable,partially_supported,D_vs_B,20
,unsupported,partially_supported,D_vs_B,18
,contradicted,supported,D_vs_B,4
,partially_supported,supported,D_vs_B,30
,supported,supported,D_vs_B,32
,unreviewable,supported,D_vs_B,12
,unsupported,supported,D_vs_B,17
,partially_supported,unreviewable,D_vs_B,1
,contradicted,unsupported,D_vs_B,1
,partially_supported,unsupported,D_vs_B,13
,supported,unsupported,D_vs_B,3
,unreviewable,unsupported,D_vs_B,9
,unsupported,unsupported,D_vs_B,7
contradicted,,contradicted,D_vs_A,5
partially_supported,,contradicted,D_vs_A,5
supported,,contradicted,D_vs_A,1
unreviewable,,contradicted,D_vs_A,7
unsupported,,contradicted,D_vs_A,11
contradicted,,partially_supported,D_vs_A,11
partially_supported,,partially_supported,D_vs_A,52
supported,,partially_supported,D_vs_A,12
unreviewable,,partially_supported,D_vs_A,32
unsupported,,partially_supported,D_vs_A,35
contradicted,,supported,D_vs_A,5
partially_supported,,supported,D_vs_A,23
supported,,supported,D_vs_A,26
unreviewable,,supported,D_vs_A,21
unsupported,,supported,D_vs_A,20
partially_supported,,unreviewable,D_vs_A,1
contradicted,,unsupported,D_vs_A,2
partially_supported,,unsupported,D_vs_A,5
unreviewable,,unsupported,D_vs_A,8
unsupported,,unsupported,D_vs_A,18
contradicted,contradicted,,A_vs_B,3
contradicted,partially_supported,,A_vs_B,8
contradicted,supported,,A_vs_B,3
contradicted,unreviewable,,A_vs_B,5
contradicted,unsupported,,A_vs_B,4
partially_supported,contradicted,,A_vs_B,2
partially_supported,partially_supported,,A_vs_B,36
partially_supported,supported,,A_vs_B,23
partially_supported,unreviewable,,A_vs_B,11
partially_supported,unsupported,,A_vs_B,14
supported,contradicted,,A_vs_B,3
supported,partially_supported,,A_vs_B,15
supported,supported,,A_vs_B,9
supported,unreviewable,,A_vs_B,8
supported,unsupported,,A_vs_B,4
unreviewable,contradicted,,A_vs_B,4
unreviewable,partially_supported,,A_vs_B,30
unreviewable,supported,,A_vs_B,13
unreviewable,unreviewable,,A_vs_B,12
unreviewable,unsupported,,A_vs_B,9
unsupported,contradicted,,A_vs_B,3
unsupported,partially_supported,,A_vs_B,28
unsupported,supported,,A_vs_B,27
unsupported,unreviewable,,A_vs_B,11
unsupported,unsupported,,A_vs_B,15
